benchmark_year,period_label,reference_month,frequency,realized_text,forecast_text,difference_text,source_file,source_locator
2017,Apr-16,2016-04-01,monthly,404,255,149,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,May-16,2016-05-01,monthly,180,231,-51,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Jun-16,2016-06-01,monthly,15,99,-84,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Jul-16,2016-07-01,monthly,244,154,90,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Aug-16,2016-08-01,monthly,105,113,-8,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Sep-16,2016-09-01,monthly,-38,-58,20,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Oct-16,2016-10-01,monthly,255,237,18,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Nov-16,2016-11-01,monthly,-14,7,-21,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Dec-16,2016-12-01,monthly,-35,-17,-18,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Jan-17,2017-01-01,monthly,-179,-247,68,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Feb-17,2017-02-01,monthly,98,124,-26,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Mar-17,2017-03-01,monthly,76,32,44,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2017,Total,,annual,"1,111",930,181,bls/benchmark/ces-benchmark-revision-2017.pdf,"Table 7, PDF page 45"
2018,Apr-17,2017-04-01,monthly,281,264,17,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,May-17,2017-05-01,monthly,204,232,-28,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Jun-17,2017-06-01,monthly,124,110,14,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Jul-17,2017-07-01,monthly,140,200,-60,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Aug-17,2017-08-01,monthly,91,115,-24,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Sep-17,2017-09-01,monthly,-61,-41,-20,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Oct-17,2017-10-01,monthly,279,247,32,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Nov-17,2017-11-01,monthly,-24,8,-32,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Dec-17,2017-12-01,monthly,-45,-23,-22,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Jan-18,2018-01-01,monthly,-149,-198,49,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Feb-18,2018-02-01,monthly,157,125,32,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
2018,Mar-18,2018-03-01,monthly,42,65,-23,bls/benchmark/ces-benchmark-revision-2018.pdf,"Table 8, PDF page 13"
